,SnapId,2080020,2080021,2080022,2080023,2080024,2080025,2080026,2080027,2080028,2080029,2080030,2080031,2080032,2080033,2080034,2080040,2080041,2080042,2080043,2080044,2080045,2080046,2080047,2080048,2080049,2080050,2080051,2080052,2080053,2080054,2080055,2080056,2080057,2080058,2080059,2080060,2080061,2080062,2080063,2080064,2080065,LoadScore,LoadLevel,PerfScore,PerfLevel
16,21,764.9,9.3,0,0,1.1,1.0,0.0,0.6,0.1,0.0,0,1.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,3,0,49,180.0,99.78,100,90.2,91.31,100.0,95.83,64.62,356.92,9.54,8.45,0.0,8.03,4.23,11.44,0.0,0,34,D,85,B
17,22,398.6,3.8,0,0,1.1,0.9,0.0,0.4,0.0,0.0,0,0.9,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,1,0,52,126.7,99.69,100,95.9,96.12,100.0,66.67,80.0,271.47,13.11,90.7,0.0,11.93,55.81,5.28,0.0,0,31,D,87,B
18,23,386.9,3.4,0,0,1.1,0.9,0.0,0.4,0.0,0.0,0,0.9,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,52,176.6,99.98,100,96.08,94.37,100.0,76.47,77.19,401.5,11.63,0.0,0.0,13.31,100.0,8.59,0.0,0,31,D,88,B
19,24,408.8,3.8,0,0,1.1,0.9,0.0,0.5,0.0,0.0,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,169.0,99.97,100,95.39,95.07,100.0,98.67,-13.85,334.18,13.08,50.0,0.0,11.6,0.0,5.83,0.0,0,31,D,88,B
20,25,4147.2,162.2,0,0,3.3,1.7,0.0,9.0,1.1,0.0,0,18.7,0.3,2.0,0,0,0,0,0,0.08,0.06,1,1,24,77.0,99.45,100,96.29,88.12,99.98,95.66,-281.92,467.81,74.35,89.66,0.0,9.55,48.79,20.36,0.0,0,54,C,79,B
21,26,690.3,9.7,0,0,1.1,0.9,0.0,0.7,0.1,0.0,0,1.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.01,1,0,47,167.3,99.96,100,87.9,89.62,100.0,83.33,39.39,286.44,26.52,0.0,0.0,7.98,14.29,5.15,0.0,0,31,D,88,B
22,27,340.2,2.6,0,0,1.1,0.9,0.0,0.3,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,202.3,100.0,100,99.79,99.66,100.0,200.0,92.45,434.19,15.5,0.0,0.0,17.74,0.0,6.41,0.0,0,31,D,90,A
23,28,351.0,2.5,0,0,1.1,0.9,0.0,0.3,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,199.4,99.93,100,99.85,99.83,100.0,800.0,86.89,372.5,15.69,0.0,0.0,18.13,33.33,3.43,0.0,0,31,D,89,B
24,29,351.2,3.9,0,0,1.1,0.9,0.0,0.4,0.0,0.0,0,0.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.01,0,0,53,198.1,99.99,100,99.56,99.33,100.0,16.67,98.46,345.64,23.08,0.0,0.0,20.03,100.0,2.76,0.0,0,31,D,89,B
25,30,360.5,2.9,0,0,1.1,0.9,0.0,0.4,0.0,0.0,0,0.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.01,0,0,53,183.9,100.0,100,99.17,99.47,100.0,200.0,91.89,282.54,13.66,0.0,0.0,15.63,0.0,6.93,0.0,0,31,D,90,A
