SnapId,2080020,2080021,2080022,2080023,2080024,2080025,2080026,2080027,2080028,2080029,2080030,2080031,2080032,2080033,2080034,2080040,2080041,2080042,2080043,2080044,2080045,2080046,2080047,2080048,2080049,2080050,2080051,2080052,2080053,2080054,2080055,2080056,2080057,2080058,2080059,2080060,2080061,2080062,2080063,2080064,2080065,LoadScore,LoadLevel,PerfScore,PerfLevel
9152,958.1,21.6,0,0,4.3,1.8,3.9,1.4,0,.2,.1,4,.6,null,0,0,0,0,0,0,0,124,0,27,79.8,99.99,100,99.28,99.05,99.99,19.46,96.98,11.8,13.88,0,null,12.39,50,8.39,100,0,38,D,79,B
9153,486.7,13.2,0,0,3.1,1.1,1.3,1.1,0,.1,.1,1.7,0,null,0,0,0,0,0,0,0,0,0,13,104.8,99.99,100,99.27,99,99.99,116.13,94.32,23.35,10.59,0,null,21.18,33.33,10.57,0,0,38,D,91,A
9154,483.7,12.8,0,0,2.4,1,1.1,1,0,.1,.1,1.5,0,null,0,0,0,0,0,0,0,0,0,14,107.5,99.99,100,99.67,99.55,99.97,92,96.08,25.82,10.93,0,null,21.77,50,9.91,0,0,38,D,91,A
9155,501,12.3,0,0,2.4,1,1.1,1,0,.1,.1,1.4,0,1,0,0,0,0,0,0,0,0,0,14,107.7,100,100,99.72,99.68,99.98,80.95,97.08,26.29,11.31,0,null,22.53,50,9.7,0,0,40,D,91,A
9156,461.4,13.6,0,0,5,1.2,2.1,1.4,0,.2,.1,2.1,0,null,0,0,0,0,0,0,0,113,0,14,96.1,99.99,100,99.87,99.84,99.99,72.41,97.11,18.49,10.28,0,null,20.46,40,9.4,0,0,40,D,82,B
9157,465.9,12.3,0,0,2.4,1,1.1,.9,0,.1,.1,1.4,0,null,0,0,0,0,0,0,0,0,0,14,107.2,99.99,100,99.96,99.97,100,150,97.41,25.99,11.38,0,null,23.47,66.67,9.92,0,0,38,D,91,A
9158,470.9,12.5,0,0,5,1.2,2.1,1.4,0,.2,.1,2.1,0,null,0,0,0,0,0,0,0,118,0,13,97.5,99.99,100,99.97,99.98,99.99,93.75,97.98,18.52,11.19,0,null,23.09,66.67,9.71,0,0,40,D,82,B
9159,499.9,12.6,0,0,9,1.4,2.2,1.5,0,.1,.1,2.1,0,null,0,0,0,0,0,0,0,65,0,13,100.7,99.99,100,99.05,99.2,99.98,114.29,96.77,19.13,11.12,0,null,23.04,66.67,9.6,0,0,40,D,82,B
9160,8179.9,71.8,0,0,4.3,1.6,1.9,1.7,.1,.2,.1,3.5,0,null,0,0,0,0,0,0,0,18,0,13,97.4,100,100,96.22,95.19,100,120.51,93.46,19.01,45.93,0,null,33.68,33.33,6.34,0,0,40,D,85,B
9161,490.4,11.8,0,0,3.2,1.1,1.3,1,0,.1,.1,1.6,0,null,0,0,0,0,0,0,0,1,0,13,105.4,99.99,100,99.96,99.97,99.99,125,97.61,23.55,11.81,0,null,21.76,33.33,11.1,0,0,38,D,91,A
9162,464.2,12,0,0,5.1,1.2,2.1,1.4,0,.2,.1,2.1,0,null,0,0,0,0,0,0,0,117,0,14,98,99.99,100,99.97,99.98,99.99,75,98.37,18.61,11.67,0,null,21.49,50,10.08,0,0,40,D,81,B
9163,476.4,11.8,0,0,2.4,1,1.1,.9,0,.1,.1,1.4,0,1,0,0,0,0,0,0,0,0,0,13,108.7,99.99,100,99.96,99.97,99.99,123.08,97.27,25.95,11.87,0,null,22.69,33.33,10.47,0,0,40,D,91,A
