,DBID,LS-Top0,LS-Top1,LS-Top2,LS-Top3,LS-Top4,LS-Top5,LS-Top6,LS-Top7,LS-Top8,LS-Top9,PS-Top0,PS-Top1,PS-Top2,PS-Top3,PS-Top4,PS-Top5,PS-Top6,PS-Top7,PS-Top8,PS-Top9
35,DBID(3775482706)_INSTID(1).csv,2080021,2080027,2080050,2080026,2080031,2080020,2080028,2080025,2080041,2080040,2080049,2080024,2080062,2080046,2080027,2080028,2080022,2080026,2080031,2080029
36,DBID(3775482706)_INSTID(2).csv,2080021,2080027,2080050,2080031,2080020,2080025,2080034,2080040,2080026,2080041,2080040,2080049,2080021,2080041,2080062,2080050,2080028,2080026,2080027,2080046
37,DBID(4213264717)_INSTID(1).csv,2080021,2080061,2080050,2080058,2080031,2080032,2080049,2080020,2080054,2080048,2080021,2080050,2080061,2080048,2080058,2080054,2080026,2080031,2080064,2080049
38,DBID(4215505906)_INSTID(1).csv,2080021,2080033,2080031,2080020,2080028,2080027,2080058,2080053,2080057,2080059,2080024,2080046,2080031,2080027,2080026,2080057,2080049,2080025,2080053,2080052
39,DBID(4225426100)_INSTID(1).csv,2080021,2080058,2080061,2080031,2080027,2080057,2080020,2080050,2080053,2080025,2080024,2080046,2080031,2080049,2080057,2080027,2080026,2080025,2080053,2080052
40,DBID(4291669003)_INSTID(1).csv,2080031,2080040,2080021,2080025,2080029,2080041,2080027,2080050,2080032,2080028,2080047,2080042,2080049,2080026,2080028,2080040,2080033,2080041,2080027,2080029
41,DBID(4291669003)_INSTID(2).csv,2080027,2080031,2080032,2080034,2080025,2080021,2080028,2080050,2080020,2080045,2080047,2080049,2080046,2080044,2080042,2080057,2080061,2080060,2080050,2080034
42,DBID(447326245)_INSTID(1).csv,2080021,2080061,2080058,2080031,2080020,2080053,2080033,2080027,2080057,2080052,2080026,2080024,2080047,2080031,2080057,2080049,2080027,2080025,2080059,2080052
43,DBID(468957624)_INSTID(1).csv,2080025,2080031,2080057,2080026,2080027,2080020,2080061,2080058,2080021,2080024,2080024,2080046,2080047,2080031,2080027,2080049,2080053,2080059,2080062,2080057
44,DBID(505574722)_INSTID(1).csv,2080021,2080057,2080031,2080020,2080049,2080042,2080040,2080033,2080041,2080061,2080047,2080024,2080045,2080049,2080057,2080042,2080041,2080021,2080044,2080040
45,DBID(522516877)_INSTID(1).csv,2080031,2080027,2080021,2080025,2080020,2080028,2080058,2080053,2080057,2080049,2080047,2080024,2080026,2080027,2080031,2080049,2080057,2080025,2080046,2080052
46,DBID(770699067)_INSTID(1).csv,2080024,2080021,2080058,2080061,2080026,2080059,2080050,2080031,2080062,2080057,2080046,2080024,2080059,2080057,2080058,2080062,2080021,2080026,2080054,2080031
47,DBID(929227073)_INSTID(1).csv,2080025,2080057,2080031,2080027,2080058,2080021,2080026,2080020,2080061,2080024,2080047,2080024,2080031,2080027,2080049,2080062,2080053,2080020,2080046,2080052
48,DBID(942093433)_INSTID(1).csv,2080021,2080033,2080031,2080027,2080028,2080020,2080053,2080063,2080059,2080052,2080024,2080027,2080046,2080031,2080025,2080026,2080049,2080057,2080052,2080053
49,DBID(998852395)_INSTID(1).csv,2080021,2080058,2080031,2080061,2080020,2080033,2080053,2080027,2080057,2080052,2080046,2080026,2080024,2080031,2080027,2080057,2080049,2080025,2080053,2080059
features,all DBs,2080031,2080021,2080027,2080020,2080025,2080058,2080028,2080053,2080026,2080033,2080049,2080024,2080057,2080026,2080027,2080031,2080046,2080025,2080047,2080053
counts,all DBs,46,44,41,39,31,23,22,22,21,20,39,38,35,33,32,30,28,27,22,17
